
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-24 13:19:35 /api/cctv-stats .................................. ~ 2s
  2026-05-24 13:19:35 /api/cctv-events ................................. ~ 2s
  2026-05-24 13:19:37 /api/cameras ............................... ~ 513.02ms
  2026-05-24 13:19:37 /api/cctv-events ........................... ~ 520.30ms
  2026-05-24 13:19:40 /api/cctv-stats ............................ ~ 507.32ms
  2026-05-24 13:19:40 /api/cctv-events ........................... ~ 513.95ms
  2026-05-24 13:19:40 /api/cameras ..................................... ~ 1s
  2026-05-24 13:19:45 /api/cctv-stats .............................. ~ 0.32ms
  2026-05-24 13:19:45 /api/cctv-events ........................... ~ 515.32ms
  2026-05-24 13:19:46 /api/cameras ............................... ~ 514.08ms
  2026-05-24 13:19:55 /api/cctv-stats .............................. ~ 0.21ms
  2026-05-24 13:19:38 /api/cctv-events ................................ ~ 17s
  2026-05-24 13:19:55 /api/cctv-events ........................... ~ 512.23ms
  2026-05-24 13:19:55 /api/cameras ............................... ~ 519.78ms
  2026-05-24 13:20:00 /api/cctv-stats .............................. ~ 0.34ms
  2026-05-24 13:20:00 /api/cctv-events ............................. ~ 9.28ms
  2026-05-24 13:20:00 /api/cameras ............................... ~ 520.15ms
  2026-05-24 13:20:03 /api/cameras ............................... ~ 512.79ms
  2026-05-24 13:20:25 /api/cctv-events ............................. ~ 0.46ms
  2026-05-24 13:20:26 /api/cctv-stats ............................ ~ 511.64ms
  2026-05-24 13:20:26 /api/cctv-events ........................... ~ 521.07ms
  2026-05-24 13:20:26 /api/cameras ............................... ~ 517.35ms
  2026-05-24 13:20:28 /api/cctv-events ............................. ~ 0.41ms
  2026-05-24 13:20:33 /api/cctv-events ............................. ~ 0.42ms
  2026-05-24 13:20:38 /api/cctv-events ............................. ~ 0.21ms
  2026-05-24 13:20:43 /api/cctv-events ........................... ~ 501.15ms
  2026-05-24 13:20:48 /api/cctv-events ........................... ~ 513.48ms
  2026-05-24 13:20:53 /api/cctv-events ............................. ~ 0.21ms
  2026-05-24 13:20:25 /api/cctv-events ................................ ~ 29s
  2026-05-24 13:20:58 /api/cctv-events ............................. ~ 0.22ms
  2026-05-24 13:21:00 /api/cctv-stats ............................ ~ 500.72ms
  2026-05-24 13:21:00 /api/cctv-events ............................. ~ 0.14ms
  2026-05-24 13:21:00 /api/cameras ............................... ~ 521.59ms
  2026-05-24 13:21:05 /api/cctv-stats ............................ ~ 513.35ms
  2026-05-24 13:21:06 /api/cctv-events ............................. ~ 0.11ms
  2026-05-24 13:21:06 /api/cameras ............................... ~ 513.15ms
  2026-05-24 13:21:10 /api/cctv-stats ............................ ~ 516.34ms
  2026-05-24 13:21:10 /api/cctv-events ........................... ~ 530.16ms
  2026-05-24 13:21:11 /api/cameras ................................ ~ 10.36ms
  2026-05-24 13:21:15 /api/cctv-stats .............................. ~ 0.21ms
  2026-05-24 13:21:15 /api/cctv-events ........................... ~ 513.92ms
  2026-05-24 13:21:16 /api/cameras ............................... ~ 519.65ms
  2026-05-24 13:21:20 /api/cctv-stats .............................. ~ 0.20ms
  2026-05-24 13:21:21 /api/cctv-events ............................. ~ 0.10ms
  2026-05-24 13:21:21 /api/cameras ............................... ~ 518.56ms
